YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2023,2023-01,23MBAIM400097499,1,5,Settled,38:27.0,IM4,IM400,1106.0,7623515.48,USD,8976835.16,72,72161000,Channel 100x48; 6mtr long; 1106; 1;,CN,China,KE,Kenya,MBA,MTS,71862,1907753,40501,24995,0,0,4051,2315,0,0,0,0
2023,2023-01,23MBAEX300115794,1,1,Settled,13:41.0,EX3,EX312,264.89,79665.83,USD,79665.83,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,25,25,0,0,0,0,0,0,0,0,25,0
2023,2023-01,23MBAIM700399452,1,1,Settled,27:14.0,IM7,IM700,1517624.0,103034450.7,USD,114562970.3,72,72071100,NON - ALLOY STEEL BILLETS IN GRADE 3SP SIZE 130X130X12000MM - 966 PCS; 1517624; 0;,ID,Indonesia,KE,Kenya,MBA,MCD,94240,94240,0,18330076,0,0,0,0,0,0,94240,0
2023,2023-01,23MBAEX300437614,1,1,Settled,20:55.0,EX3,EX312,371.0,106997.0,KES,106997.0,48,48194000,CARBON FOOT PRINT PAPER SACKS; 1000; 1; ,LK,Sri Lanka,NG,Nigeria,MBA,MEX,35,35,0,0,0,0,0,0,0,0,35,0
2023,2023-01,23MBAEX300452616,1,1,Settled,35:37.0,EX3,EX312,42.0,73602.0,KES,73602.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,23,23,0,0,0,0,0,0,0,0,23,0
2023,2023-02,23EDLIM400033996,1,4,Settled,48:53.0,IM4,IM400,864.0,3586576.23,USD,3640374.87,48,48191000,NEW; ARGAKI GIFT BOXES; 144; 25; 1; ,CN,China,KE,Kenya,EDL,EIA,226361,127421,127578,78734,0,0,12758,7291,0,0,0,0
2023,2023-02,23ATNIM400030551,1,1,Removed,55:31.0,IM4,IM490,225.5,74730.37,USD,88313.59,48,48191000,"H; PRE-PRINTED CARTONS FOR MEDICINE (30,000 PIECES); 1; 1; 1; 225.5; ",IN,India,KE,Kenya,ATN,AT2,52,0,30910,14131,0,0,3091,1767,0,0,52,0
2023,2023-01,23MBAEX300453399,1,1,Settled,52:22.0,EX3,EX312,194.91,42760.03,USD,42760.03,48,48194000,PAPER SACKS; PAPER SACKS; 40; 12; ,KZ,Kazakstan,KZ,Kazakstan,MBA,MEX,21,21,0,0,0,0,0,0,0,0,21,0
2023,2023-01,23NMAIM400036478,1,1,Removed,39:36.0,IM4,IM404,28763.0,3263201.34,USD,3263201.34,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,522113,0,326321,522113,0,0,0,0,0,0,0,0
2023,2023-02,23EMKIM400203407,1,1,Removed,14:25.0,IM4,IM490,950.0,284896.24,USD,289233.93,48,48191000,H; PRE-PRINTED CARTONS FOR MEDICINE:PCT -MAGSIM 180ML; 1200; 17; 1; 1188; ,IN,India,KE,Kenya,EMK,ICD,355,0,53120,24284,0,0,2277,2277,0,0,355,0
2023,2023-02,23EMKIM400174160,1,2,Settled,09:11.0,IM4,IM400,4212.0,4482569.17,USD,5057663.66,48,48041100,KRAFT LINER 125K/122; 1;,PL,Poland,KE,Kenya,EMK,ICD,134650,890155,44003,77445,0,0,6601,6601,0,0,0,0
2023,2023-02,23MBAEX300807301,1,1,Settled,41:47.0,EX3,EX312,233.0,72743.82,USD,72743.82,48,48194000,PAPER SACKS; 0; 460; ,LK,Sri Lanka,RU,Russian Federation,MBA,MEX,22,22,0,0,0,0,0,0,0,0,22,0
2023,2023-02,23NMAIM400071803,1,1,Removed,14:28.0,IM4,IM404,28635.0,2862142.28,USD,2862142.28,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,457943,0,286215,457943,0,0,0,0,0,0,0,0
2023,2023-02,23MBAEX301085429,1,1,Settled,05:35.0,EX3,EX312,263.0,64150.4,USD,64150.4,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,28,28,0,0,0,0,0,0,0,0,28,0
2023,2023-02,23MBAIM400948896,1,1,Settled,15:26.0,IM4,IM400,22586.0,4034037.97,EUR,4462185.96,48,48043900,120(g/m); AXELLO TOUGH WHITE K (WHITE KRAFT PAPER); 120(g/m); 1;,SE,Sweden,KE,Kenya,MBA,CCF,1370400,0,446219,785345,0,0,66933,66933,0,0,4970,0
2023,2023-02,23MBAEX300853278,1,1,Settled,55:04.0,EX3,EX312,40.0,73075.0,KES,73075.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 11; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,23,23,0,0,0,0,0,0,0,0,23,0
2023,2023-03,23EMKIM400338159,1,1,Pending Removal,33:39.0,IM4,IM490,2838.59,752238.11,USD,786603.99,48,48191000,"H; PRINTED CARTONS MADE OF PAPER BOARD(385,000PCS); 1; 1; 1; 2838.59;",IN,India,KE,Kenya,EMK,ICD,709,0,275312,125857,0,0,27532,15733,0,0,709,0
2023,2023-04,23NMAIM400166738,1,1,Removed,38:57.0,IM4,IM404,27943.0,4578046.47,USD,4578046.47,48,48042100,SACK KRAFT PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,732488,0,457805,732488,0,0,0,0,0,0,0,0
2023,2023-03,23EMKIM400342456,1,5,Settled,43:17.0,IM4,IM400,6000.0,3679174.08,USD,4176381.11,48,48041100,TOP KRAFTLINER 125KT/140; 1;,EG,Egypt,KE,Kenya,EMK,ICD,110554,62648,58186,93098,0,0,8728,8728,0,0,0,0
2023,2023-03,23NBOIMC02594135,1,3,Settled,45:49.0,IMC,IM960,0.1,3194.93,USD,3242.87,48,48191000,CARDB; CARDBOARD BOX; 1; 1; ,US,United States,KE,Kenya,NBO,KAH,4,703,1,1,0,0,1,1,0,0,0,0
2023,2023-04,23NMAIM400184401,1,1,Removed,58:54.0,IM4,IM404,28839.0,3542086.24,USD,3542086.24,48,48041100,KRAFT LINER PAPER AND PAPER BOARD; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,566734,0,354209,566734,0,0,0,0,0,0,0,0
2023,2023-04,23MBAEX302338065,1,1,Settled,38:16.0,EX3,EX312,235.0,64744.95,USD,64744.95,48,48194000,PAPER SACKS; 0; 20; ,LK,Sri Lanka,KZ,Kazakstan,MBA,MEX,27,27,0,0,0,0,0,0,0,0,27,0
2023,2023-05,23NBOIM404908450,1,2,Settled,06:13.0,IM4,IM400,9.0,253662.02,USD,294463.69,48,48191000,N; HAZMAT PACKING; 1; 1; 1; ,AE,United Arab Emirates,KE,Kenya,NBO,SIG,15171,5890,8550,5277,0,0,855,489,0,0,0,0
2023,2023-04,23MBAEX302346138,1,1,Settled,08:13.0,EX3,EX312,245.5,82662.92,USD,82662.92,48,48194000,PAPER SACKS; 25; 20; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
2023,2023-04,23MBAEX302365633,1,1,Settled,01:54.0,EX3,EX312,267.0,82257.05,USD,82257.05,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,28,28,0,0,0,0,0,0,0,0,28,0
2023,2023-05,23EMKIM400557006,1,1,Settled,54:54.0,IM4,IM400,570.0,7572380.88,USD,8867549.51,48,48041100,KRAFTLINER BOARD - (135GSM) (690MM); 1;,FR,France,KE,Kenya,EMK,ICD,40850,0,5029,8850,0,0,1760,1006,0,0,24205,0
2023,2023-05,23MBAEX302550606,1,1,Settled,33:28.0,EX3,EX312,209.0,65518.61,USD,65518.61,48,48194000,PAPER SACKS; 0; 16; ,LK,Sri Lanka,PK,Pakistan,MBA,MEX,22,22,0,0,0,0,0,0,0,0,22,0
2023,2023-05,23NMAIM400226732,1,1,Removed,22:19.0,IM4,IM404,29424.0,3668883.7,USD,3668883.7,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,587022,0,366889,587022,0,0,0,0,0,0,0,0
2023,2023-05,23NMAIM400238755,1,1,Removed,08:38.0,IM4,IM404,29330.0,3193929.15,USD,3193929.15,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,511029,0,319393,511029,0,0,0,0,0,0,0,0
2023,2023-05,23NMAIM400261169,1,1,Removed,37:09.0,IM4,IM404,29251.0,3199621.29,USD,3199621.29,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,511940,0,319963,511940,0,0,0,0,0,0,0,0
