YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-01,22EMKIM400044396,1,6,Settled,24:30.0,IM4,IM400,3033.36,10487731.76,EUR,11984353.77,48,48115990,SH PICK N PEEL PASSIONTBA EDGE 250ML[LIQUID PACKAGING MATERIAL]; 0;,PK,Pakistan,KE,Kenya,EMK,ICD,468767,179768,153192,269617,0,0,22979,22979,0,0,0,0
2022,2022-01,22NBOIM400934249,1,1,Settled,00:24.0,IM4,IM400,432.0,85213.2,USD,86491.4,48,48191000,N; EMPTY CARDBOARD PACKING MATERIAL; 123; 1; 0; ,ZA,South Africa,KE,Kenya,NBO,ACH,43930,0,21623,17299,0,0,3028,1730,0,0,0,250
2022,2022-02,22EMKIM400186090,1,3,Removed,21:18.0,IM4,IM492,19298.8,8097911.3,USD,9122811.83,48,48191000,GOOD; PAPER BOX CARTON FOR SANITARY PADS; 59195; 59195; 1; 19298.8; ,CN,China,KE,Kenya,EMK,ICD,470387,136845,603059,385958,0,0,36184,48245,0,0,0,0
2022,2022-01,22EMKIM400141816,1,1,Settled,45:20.0,IM4,IM400,95788.0,10586676.95,EUR,12033028.71,48,48043900,"BLEACHED KRAFT PAPER 1268MM,BK GRUVON; 0; ",SE,Sweden,KE,Kenya,EMK,ICD,3701673,0,1203303,2117814,0,0,180496,180496,0,0,19564,0
2022,2022-01,22MBAIM400192067,1,1,Settled,14:33.0,IM4,IM400,21663.0,2552002.25,EUR,2841495.65,48,48043900,120; AXELLO TOUGH WHITE(WHITE KRAFT PAPER); 120; 1; ,SE,Sweden,KE,Kenya,MBA,CCF,873797,0,284150,500104,0,0,42623,42623,0,0,4297,0
2022,2022-01,22EMKIM400157291,1,2,Settled,17:18.0,IM4,IM400,5000.0,4423376.46,USD,5004794.98,48,48041100,BROWN KRAFTLINER BOARD IN REELSâ 125G 1050 MM; 1; ,ES,Spain,KE,Kenya,EMK,ICD,260433,1000963,135642,108513,0,0,8139,8139,0,0,0,0
2022,2022-01,22CTSIM400000959,1,6,Settled,09:46.0,IM4,IM400,1200.0,1763268.51,USD,2273183.55,48,48191000,NA; 21; 1; PACKING BOX; 15; ,CN,China,KE,Kenya,CTS,CTS,46572,45470,23055,18444,0,0,3228,1845,0,0,0,0
2022,2022-02,22MBAIM400633312,1,5,Settled,51:32.0,IM4,IM400,500.0,2537749.06,EUR,2744894.02,48,48193000,BAGS- 500X88 PE SEAL; 1; 2500; 1; ,NL,Netherlands,KE,Kenya,MBA,MSA,70208,6076,34756,27805,0,0,4866,2781,0,0,0,0
2022,2022-03,22EMKIM400330126,1,2,Removed,52:42.0,IM4,IM491,4346.0,6260119.0,USD,6883962.69,48,48041100,TOP KRAFTLINER 125KT/101.5; 1; 3585.45;,ES,Spain,KE,Kenya,EMK,ICD,85397,1101439,112364,71913,0,0,6742,6742,0,0,0,0
2022,2022-03,22NMAIM400067025,1,1,Settled,53:27.0,IM4,IM400,27889.0,3224787.89,USD,3224787.89,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,515967,0,806197,515967,0,0,112868,64496,0,0,0,0
