YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2023,2023-07,23MBAEX303918198,1,1,Settled,51:06.0,EX3,EX312,4669.0,781595.35,USD,781595.35,48,48191000,N/A; CARTONS; 10; 243; ,KE,Kenya,US,United States,MBA,MEX,250,250,0,0,0,0,0,0,0,0,0,250
2023,2023-07,23MBAIM403794560,1,1,Settled,53:34.0,IM4,IM400,23520.0,4528068.7,EUR,5041144.81,48,48043900,BLEACHED WHITE KRAFT PAPER 70/75/85 GSM IN BIG ROLLS OF SIZE 335 AND 427MM WIDTH; 0; ,FI,Finland,KE,Kenya,MBA,CNT,3060725,3,1764401,1088888,0,0,126029,75618,0,0,5789,0
2023,2023-07,23EMKIM400745502,1,1,Removed,43:44.0,IM4,IM490,573.24,75981.89,USD,87579.69,48,48191000,H; PRINTED CARTONS MADE OUT OF PAPERBOARD; 2066; 21; 1; 573.24;,IN,India,KE,Kenya,EMK,ICD,22042,21895,30653,17516,21895,0,2190,1314,0,0,147,0
2023,2023-07,23EMKIM400736071,1,2,Settled,35:08.0,IM4,IM400,879.0,1686281.07,USD,2082690.85,48,48043900,KRAFT LINER BOARD 125 GSM 900MM; 1;,SE,Sweden,KE,Kenya,EMK,ICD,43369,449864,25047,15458,0,0,1790,1074,0,0,0,0
2023,2023-07,23NBOIMC07539077,1,3,Settled,11:08.0,IMC,IM960,4.0,7425.86,EUR,7536.88,25,25232900,BAG FILLED WITH CEMENT; BAG FILLED WITH CEMENT; BX; 1; ,DE,Germany,KE,Kenya,NBO,DHL,298,1637,136,93,53,0,10,6,0,0,0,0
2023,2023-07,23MBAEX304224051,1,1,Settled,57:23.0,EX3,EX312,248.0,50507.39,USD,50507.39,48,48194000,PRINTED PAPER SACKS; 20; 20; ,AE,United Arab Emirates,AE,United Arab Emirates,MBA,MEX,30,30,0,0,0,0,0,0,0,0,30,0
2023,2023-07,23NMAIM400393974,1,1,Removed,32:08.0,IM4,IM404,28825.0,3251185.04,USD,3251185.04,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,520190,0,1137915,520190,0,0,0,0,0,0,0,0
2023,2023-08,23MBAEX304515306,1,1,Settled,54:50.0,EX3,EX312,250.0,50864.03,USD,50864.03,48,48194000,PRINTED PAPER SACKS; 0; 400; ,LK,Sri Lanka,CN,China,MBA,MEX,31,31,0,0,0,0,0,0,0,0,31,0
2023,2023-08,23NBOIM409135178,1,4,Settled,01:04.0,IM4,IM400,230.0,1875962.1,USD,1977378.6,48,48191000,N; DRAWER; 135000; 1; 1; ,CN,China,KE,Kenya,NBO,TCC,122213,49442,42882,33080,41350,0,3063,1838,0,0,0,0
2023,2023-08,23NMAIM400450081,1,1,Removed,51:47.0,IM4,IM404,28609.0,3281585.01,USD,3281585.01,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,525054,0,1148555,525054,0,0,0,0,0,0,0,0
2023,2023-08,23MBAEX305074574,1,1,Settled,05:45.0,EX3,EX312,243.0,83733.75,KES,83733.75,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 11; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,27,27,0,0,0,0,0,0,0,0,27,0
2023,2023-08,23EMKIM400915848,1,1,Removed,29:54.0,IM4,IM491,12688.0,1715159.98,USD,2006743.63,48,48041100,KRAFTLINER; 1; 5756.2;,SE,Sweden,KE,Kenya,EMK,ICD,203092,0,344856,157649,0,0,24633,14780,0,0,6030,0
2023,2023-09,23NBOEX110187864,1,1,Settled,11:10.0,EX1,EX112,13156.0,3062863.96,USD,3062863.96,48,48194000,PRN BAGS; PRN BAGS; NA; BE; 1; 943; NA; PAPER BAG; 1; 943; ,KE,Kenya,US,United States,NBO,NEX,1640,1640,0,0,0,0,0,0,0,0,1640,0
2023,2023-09,23MBAEX305383203,1,1,Settled,03:02.0,EX3,EX312,238.0,83733.0,KES,83733.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,27,27,0,0,0,0,0,0,0,0,27,0
2023,2023-09,23MBAEX305711671,1,1,Settled,38:42.0,EX3,EX312,314.65,84684.8,KES,84684.8,48,48194000,4 PLY PAPER SACKS; 1; 512; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,35,35,0,0,0,0,0,0,0,0,35,0
2023,2023-10,23CTSIM400037424,1,3,Settled,25:50.0,IM4,IM400,24980.0,13854889.54,USD,17197652.62,72,72139110,"WIRE ROD IN COILS, SAE 1008, SIZE-5.5M; 1; ",EG,Egypt,KE,Kenya,CTS,CTS,726608,2751630,743346,310019,0,0,48441,29065,0,0,0,0
2023,2023-10,23MBAEX305795579,1,1,Settled,21:44.0,EX3,EX312,295.0,78397.8,USD,78397.8,48,48194000,PAPER SACKS; 0; 14; ,LK,Sri Lanka,KZ,Kazakstan,MBA,MEX,34,34,0,0,0,0,0,0,0,0,34,0
2023,2023-09,23MBAEX305750550,1,1,Settled,00:06.0,EX3,EX312,239.0,84002.0,KES,84002.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,27,27,0,0,0,0,0,0,0,0,27,0
2023,2023-09,23MBAEX305739440,1,1,Settled,29:15.0,EX3,EX312,238.0,83567.0,KES,83567.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,27,27,0,0,0,0,0,0,0,0,27,0
2023,2023-10,23MBAEX306031051,1,1,Settled,11:20.0,EX3,EX312,254.0,77965.02,USD,77965.02,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2023,2023-10,23MBAIM705958195,1,1,Settled,14:14.0,IM7,IM700,45464.0,16518956.05,EUR,18198758.86,48,48043900,BLEACHED PRIME WHITE KRAFT PAPER SUB 73 GSM IN REELS; 1; ,FI,Finland,KE,Kenya,MBA,CNT,24068,24068,3120205,1925613,0,0,0,0,0,0,24068,0
2023,2023-10,23NBOIMC12130172,1,1,Settled,06:51.0,IMC,IM960,58.0,8948.12,INR,9082.34,48,48191000,PACKAGING BOXES; PACKAGING BOXES; 90; 3;,IN,India,KE,Kenya,NBO,KAH,9313,2453,3179,2453,3066,0,228,137,0,0,0,250
2023,2023-10,23NMAIM400570344,1,1,Removed,51:16.0,IM4,IM404,27466.0,3760725.06,USD,3760725.06,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,601717,0,1316254,601717,0,0,0,0,0,0,0,0
2023,2023-11,23NMAIM400602073,1,1,Removed,53:58.0,IM4,IM404,28568.0,3944771.71,USD,3944771.71,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,631164,0,1380671,631164,0,0,0,0,0,0,0,0
2023,2023-11,23MBAEX306881552,1,1,Settled,42:48.0,EX3,EX312,209.0,77280.0,KES,77280.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 9; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-07,23MBAEX303747337,1,1,Settled,29:40.0,EX3,EX312,288.0,94154.0,KES,94154.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,31,31,0,0,0,0,0,0,0,0,31,0
2023,2023-07,23MBAEX303808210,1,1,Settled,42:59.0,EX3,EX312,240.0,78462.0,KES,78462.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
