YEAR,MONTH_,ENTRY_NUMBER,ENTRYSTATUS,ITEM_NO,REGDATE,REGIME,CPC,COUNTRYOFORIGIN,COUNTRYOFDESTINATION,PORT_OF_DISCHARGE,HS_CHAPTER,HSCODE,DESCRIPTION,QUANTITY,FOB,FOBCURRENCYCODE,CIF_VALUE,CUSTOMSVALUE,IMPORT_DUTY,EXCISE,IMPORT_VAT,DUTY_RATE,EXCISE_RATE,VAT_RATE,BIF,VEHICLE_TAX,RML,PRL,PDL,OTHER_TAX,TAX_PAYABLE,TAX_REMITTED
2022,2022-01,2022NMA230231,IN_PROGRESS,1,01/18/2022 08:01:01,C4,C404,TZ ,,NMA ,48,4804210000,SACK KRAFT PAPER,"28,954","28,954",USD,"3,668,083","3,668,096","917,024",0,"586,895",25.0,0.0,16.0,,0,0,0,0,0,"586,895","586,895"
2022,2022-03,2022NBI1892821,IN_PROGRESS,1,03/03/2022 13:50:29,C4,C410,US ,,NEX ,48,4804110000,UNBLEACHED KRAFTLINER BOARD IN ROLLS SUBS 337GSM,"45,580",0,,"3,821,031","3,821,031","955,258",0,"764,206",25.0,0.0,16.0,,0,0,0,0,0,"1,719,464","1,834,094"
2022,2022-01,2022NMA229002,IN_PROGRESS,1,01/04/2022 14:38:35,C4,C404,TZ ,,NMA ,48,4804110000,KRAFT LINER PAPER,"29,382","26,444",USD,"3,377,162","3,377,156","844,289",0,"540,345",25.0,0.0,16.0,,0,0,0,0,0,"540,345","540,345"
2022,2022-05,2022NBI1895812,IN_PROGRESS,1,05/18/2022 14:24:00,C4,C410,FI ,,TKA ,48,4804390000,BLEACHED KRAFT PAPER - AXELLO SWAN WHITE BLEACHED KRAFT  PAPER IN REELS SUBS 90GSM,"22,250",0,,"2,541,209","2,541,209","254,121",0,"447,253",10.0,0.0,16.0,,0,0,0,0,0,"701,374","777,610"
2022,2022-01,2022MSA7933383,IN_PROGRESS,1,01/17/2022 09:28:34,R3,R300,LK ,EG ,MEX ,48,4819400000,2048 PCS OF 4 PLY PAPER SACKS WITH ALUFOIL SIZE: 90 X 72 X 18CM ,"1,234",0,,"239,372","239,372","59,843",0,"47,874",25.0,0.0,16.0,"107,717",0,0,0,0,0,"107,717",
2022,2022-01,2022NMA231249,IN_PROGRESS,1,01/27/2022 14:53:34,C4,C404,TZ ,,NMA ,48,4804110000,KRAFT LINER PAPER,"29,089","26,180",USD,"3,354,597","3,354,609","838,652",0,"536,737",25.0,0.0,16.0,,0,0,0,0,0,"536,737","536,737"
2022,2022-01,2022NMA228934,IN_PROGRESS,1,01/03/2022 16:16:38,C4,C404,TZ ,,NMA ,48,4804110000,"  KRAFT LINER STD,NS (GSM-125) INV:RMCSI-2021120095","28,171","25,495",USD,"3,190,119","3,190,113","797,528",0,"510,418",25.0,0.0,16.0,,0,0,0,0,0,"510,418","510,418"
2022,2022-01,2022NMA231248,IN_PROGRESS,1,01/27/2022 14:52:48,C4,C404,TZ ,,NMA ,48,4804110000,KRAFT LINER PAPER,"32,035","28,832",USD,"3,694,335","3,694,348","923,587",0,"591,096",25.0,0.0,16.0,,0,0,0,0,0,"591,096","591,096"
2022,2022-02,2022ICD340361,IN_PROGRESS,52,02/04/2022 12:46:43,C4,C400,CN ,,ICD ,48,4819400000,Creative Gift Bag Luxury Foiled Small,1,119,ZAR,968,968,242,0,194,25.0,0.0,16.0,,0,0,0,0,0,436,"1,684,885"
2022,2022-01,2022MSA7934831,IN_PROGRESS,1,01/21/2022 09:33:18,R3,R300,LK ,KE ,MEX ,48,4819400000,4590pcs-03 PLY MUL TIWALLED PLAIN PAPER SACKS FOR TEA PACKING              ng,"2,460",0,,"473,850","473,850","118,462",0,"94,770",25.0,0.0,16.0,"213,232",0,0,0,0,0,"213,232",
