Year,Month,DESTINATION,COUNTRYNAME,HS CODE,SHORT_DESC,QUANTITY,UNIT,FOB_VALUE
2022,1,BI,BURUNDI,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",81000.0,kg,963497.85
2022,1,CG,"CONGO, BRAZZAVILLE",25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",112000.0,kg,1040736.36
2022,1,DR,DEMOCRATIC REP OF CONGO,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",283000.0,kg,2510197.1500000004
2022,1,DR,DEMOCRATIC REP OF CONGO,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",54560.0,kg,2523385.84
2022,1,GB,UNITED KINGDOM,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",1.0,kg,56.81
2022,1,GB,UNITED KINGDOM,48193000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Sacks and",0.5,kg,56.81
2022,1,OT,OTHER COUNTRIES NES,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",32000.0,kg,355834.41
2022,1,RW,RWANDA,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",4824000.0,kg,44442973.910000004
2022,1,RW,RWANDA,48115990,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in head",86494.40999999999,kg,40610369.63899999
2022,1,RW,RWANDA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",225492.8,kg,37285689.42
